window_minutes,horizon_minutes,experiment_tag,best_epoch,best_validation_average_precision,best_validation_decisions,best_validation_positive_decisions,best_validation_negative_decisions,best_validation_prevalence,best_validation_loss,best_validation_average_precision_lift_over_prevalence,best_validation_roc_auc,best_validation_brier_score,best_validation_best_f1,best_validation_best_f1_threshold,best_validation_precision_at_best_f1,best_validation_recall_at_best_f1,best_validation_specificity_at_best_f1,best_validation_balanced_accuracy_at_best_f1,best_validation_recall_at_5pct_false_positive_rate,best_validation_recall_at_10pct_false_positive_rate,status,wall_clock_seconds
30,10,w30_h10,1,0.011110735444736279,55652,330,55322,0.005929706030331345,0.03636156783511446,1.8737413605165558,0.6743222598714085,0.00589531989196466,0.03228228228228228,0.005231828428804874,0.01842330762639246,0.1303030303030303,0.9585879035465096,0.5444454669247699,0.13636363636363635,0.2636363636363636,ok,3070.1
15,10,w15_h10,1,0.01046729844445154,57974,330,57644,0.005692206851347156,0.0351842019731254,1.8388823030867683,0.6606840471188886,0.005661933106727938,0.02994621311237099,0.004570812918245792,0.01572759199877844,0.31212121212121213,0.8881756991187287,0.6001484556199704,0.12424242424242424,0.25757575757575757,ok,1917.7
10,10,w10_h10,1,0.009515650756608216,58765,330,58435,0.005615587509572024,0.0348311504911567,1.6945067173093387,0.6548610603338079,0.00558583011374795,0.026710097719869704,0.00448463624343276,0.014113597246127367,0.24848484848484848,0.9019765551467442,0.5752307018157964,0.10606060606060606,0.24848484848484848,ok,1603.8
30,5,w30_h5,2,0.006101874382228494,56069,165,55904,0.002942802618202572,0.02011584397905356,2.073490877194966,0.6810433145131913,0.0029342881911907258,0.02445759368836292,0.0024694320745766163,0.013080168776371307,0.18787878787878787,0.9581604178591872,0.5730196028689876,0.19393939393939394,0.2545454545454545,ok,2817.7
15,5,w15_h5,3,0.005134312093615461,58401,165,58236,0.0028252940874300097,0.01956230428018353,1.8172664277529487,0.6671773369383095,0.0028182639510920954,0.014614952220348509,0.002170093357563019,0.007662835249042145,0.15757575757575756,0.9421835290885363,0.5498796433321469,0.13333333333333333,0.20606060606060606,ok,1912.3
10,5,w10_h5,1,0.004662341425541625,59199,165,59034,0.002787209243399382,0.019332262742305723,1.672763333640234,0.6636391868681735,0.0027804506091787386,0.012358049432197728,0.002041466301307082,0.006354113000171733,0.22424242424242424,0.9019886844869058,0.5631155543646651,0.09696969696969697,0.22424242424242424,ok,1262.8
30,2,w30_h2,8,0.002509938609892135,56324,66,56258,0.001171791776152262,0.009058917384028782,2.141966397932797,0.629867725209721,0.0011703677812288729,0.013468013468013467,0.0012897145934402943,0.0071301247771836,0.12121212121212122,0.9801983717871237,0.5507052464996225,0.12121212121212122,0.21212121212121213,ok,3960.6
15,2,w15_h2,3,0.0020061328264169846,58659,66,58593,0.0011251470362604204,0.008754530625918935,1.7829961434059682,0.6672309082323931,0.0011238817637081147,0.006495263870094722,0.0010841675102710724,0.003306696059520529,0.18181818181818182,0.938269076510846,0.5600436291645139,0.12121212121212122,0.25757575757575757,ok,1640.8
10,2,w10_h2,4,0.0018731219049520635,59469,66,59403,0.0011098219240276447,0.008686558924338878,1.6877679782665795,0.6598839003641792,0.0011087480511089401,0.005439401665816761,0.0008853930630721152,0.002735042735042735,0.48484848484848486,0.803578943824386,0.6442137143364355,0.07575757575757576,0.22727272727272727,ok,1458.4
