rid,auc,n_ict,n_ctl,subject
sub-059_ses-01_task-szMonitoring_run-02,0.8010204081632654,14,70,59
sub-060_ses-01_task-szMonitoring_run-01,0.8024221453287197,34,170,60
sub-060_ses-01_task-szMonitoring_run-02,0.7191578947368421,95,475,60
sub-060_ses-01_task-szMonitoring_run-03,1.0,2,10,60
sub-060_ses-01_task-szMonitoring_run-04,0.8423617783212507,107,535,60
sub-061_ses-01_task-szMonitoring_run-03,0.8340000000000001,10,50,61
sub-062_ses-01_task-szMonitoring_run-01,0.8,5,25,62
sub-062_ses-01_task-szMonitoring_run-02,0.792,5,25,62
sub-062_ses-01_task-szMonitoring_run-06,0.832,5,25,62
sub-063_ses-01_task-szMonitoring_run-04,0.61024,25,125,63
sub-064_ses-01_task-szMonitoring_run-01,0.971191135734072,57,285,64
sub-064_ses-01_task-szMonitoring_run-02,0.5580246913580247,9,45,64
sub-065_ses-01_task-szMonitoring_run-03,0.8648888888888888,15,75,65
sub-065_ses-01_task-szMonitoring_run-05,0.8074074074074075,9,45,65
sub-066_ses-01_task-szMonitoring_run-06,0.4899408284023669,13,65,66
sub-066_ses-01_task-szMonitoring_run-09,0.57536,25,125,66
sub-066_ses-01_task-szMonitoring_run-12,0.9644628099173553,22,110,66
sub-066_ses-01_task-szMonitoring_run-14,0.9609375,16,80,66
sub-067_ses-01_task-szMonitoring_run-05,0.996875,8,40,67
sub-068_ses-01_task-szMonitoring_run-05,0.971604938271605,18,90,68
sub-068_ses-01_task-szMonitoring_run-06,0.9760330578512396,22,110,68
sub-069_ses-01_task-szMonitoring_run-33,0.9975206611570248,22,110,69
sub-070_ses-01_task-szMonitoring_run-12,0.9944444444444445,18,90,70
sub-070_ses-01_task-szMonitoring_run-14,1.0,19,95,70
sub-071_ses-01_task-szMonitoring_run-05,0.965625,8,40,71
sub-071_ses-01_task-szMonitoring_run-08,0.7061728395061728,9,45,71
sub-071_ses-01_task-szMonitoring_run-12,0.9788194444444445,24,120,71
sub-071_ses-01_task-szMonitoring_run-13,0.8839506172839505,18,90,71
sub-071_ses-01_task-szMonitoring_run-17,0.7402777777777777,12,60,71
sub-071_ses-01_task-szMonitoring_run-18,0.9895061728395061,18,90,71
sub-072_ses-01_task-szMonitoring_run-12,0.9708984375,32,160,72
sub-072_ses-01_task-szMonitoring_run-14,0.9071428571428571,14,70,72
sub-072_ses-01_task-szMonitoring_run-15,0.9388888888888889,6,30,72
sub-072_ses-01_task-szMonitoring_run-16,0.9314878892733564,17,85,72
sub-072_ses-01_task-szMonitoring_run-17,0.9509182736455464,66,330,72
sub-072_ses-01_task-szMonitoring_run-18,0.9616345963102559,71,355,72
sub-072_ses-01_task-szMonitoring_run-19,0.9895144628099173,88,440,72
sub-072_ses-01_task-szMonitoring_run-22,0.8684703433922996,31,155,72
sub-073_ses-01_task-szMonitoring_run-16,0.9486111111111111,12,60,73
