tag,architecture,parameters,history_min,sop_min,chunks,seizures,decisions,prevalence,ap,ap_over_chance,auc,brier,sens_at_1ph,sens_ci_low,sens_ci_high,detected_at_1ph,auc_fold_std,sens_asleep,n_asleep,sens_awake,n_awake,sens_un,n_un
spectral-meanpool__large__h15__sop30,spectral-meanpool,12298.0,15.0,30.0,180.0,286,446020,0.018788395139231424,0.018429675654689965,0.9809073908716966,0.500434264990198,0.20813446794843024,0.08741258741258741,0.055944055944055944,0.12237762237762238,25,0.02158544732551107,0.0970873786407767,103.0,0.0755813953488372,172.0,0.18181818181818182,11.0
spectral,spectral-attention,,,,,286,446020,0.006309134119546209,0.006180191987074288,0.9795626261815471,0.4858896219967259,0.24723363168028425,0.03146853146853147,0.013898601398601404,0.05244755244755245,9,0.028971684430711766,,,,,,
logistic-mean__small__h45__sop30,logistic-mean,91.0,45.0,30.0,540.0,286,446020,0.018788395139231424,0.018316884737607245,0.9749041683374204,0.4817791547754838,0.24173297138186,0.06293706293706294,0.03496503496503497,0.09090909090909091,18,0.04540835124714643,0.06796116504854369,103.0,0.05813953488372093,172.0,0.09090909090909091,11.0
linear,logistic-mean,,,,,286,446020,0.006309134119546209,0.006141859528035602,0.9734869178018617,0.48433583795318147,0.24009841944799595,0.024475524475524476,0.006993006993006993,0.04195804195804196,7,0.0661104062545597,,,,,,
logistic-mean__small__h45__sop10,logistic-mean,91.0,45.0,10.0,540.0,286,446020,0.006309134119546209,0.006141859528035602,0.9734869178018617,0.48433583795318147,0.24009841944799595,0.024475524475524476,0.006993006993006993,0.04195804195804196,7,0.0661104062545597,0.019417475728155338,103.0,0.023255813953488372,172.0,0.09090909090909091,11.0
spectral-attention__small__h5__sop30,spectral-attention,2827.0,5.0,30.0,60.0,286,446020,0.018788395139231424,0.01804868611495446,0.960629472672075,0.49452085117965117,0.2007059230555285,0.10839160839160839,0.07342657342657342,0.14685314685314685,31,0.024746779350390782,0.11650485436893204,103.0,0.11046511627906977,172.0,0.0,11.0
spectral-attention__large__h45__sop10,spectral-attention,17035.0,45.0,10.0,540.0,286,446020,0.006309134119546209,0.006059980179035158,0.9605090118881524,0.48029852441290344,0.17921535746599662,0.04195804195804196,0.02097902097902098,0.06643356643356643,12,0.03181597496553446,0.05825242718446602,103.0,0.03488372093023256,172.0,0.0,11.0
spectral-meanpool__large__h15__sop10,spectral-meanpool,12298.0,15.0,10.0,180.0,286,446020,0.006309134119546209,0.00601466572394028,0.9533266546523964,0.47450211191523556,0.22731928391912595,0.024475524475524476,0.006993006993006993,0.045454545454545456,7,0.01017726918974902,0.038834951456310676,103.0,0.01744186046511628,172.0,0.0,11.0
spectral-meanpool__large__h45__sop10,spectral-meanpool,12298.0,45.0,10.0,540.0,286,446020,0.006309134119546209,0.005996676384623364,0.9504753379778652,0.4751005423681319,0.20705151328646834,0.027972027972027972,0.01048951048951049,0.04895104895104895,8,0.01565049324068363,0.04854368932038835,103.0,0.01744186046511628,172.0,0.0,11.0
spectral-meanpool__small__h5__sop30,spectral-meanpool,1546.0,5.0,30.0,60.0,286,446020,0.018788395139231424,0.01781437104900763,0.9481582070737927,0.48538108514446876,0.23569734969503586,0.0944055944055944,0.06293706293706294,0.12937062937062938,27,0.014017792035228785,0.0970873786407767,103.0,0.09883720930232558,172.0,0.0,11.0
spectral-attention__large__h45__sop30,spectral-attention,17035.0,45.0,30.0,540.0,286,446020,0.018788395139231424,0.01778141766790714,0.9464042849928332,0.4755922876585391,0.1319963805503086,0.09090909090909091,0.05944055944055944,0.1258741258741259,26,0.025134230473277393,0.11650485436893204,103.0,0.08139534883720931,172.0,0.0,11.0
spectral-gru__small__h15__sop10,spectral-gru,3178.0,15.0,10.0,180.0,286,446020,0.006309134119546209,0.0058779996711265875,0.9316650367149539,0.46886697784442444,0.17689058819179362,0.03496503496503497,0.013986013986013986,0.05944055944055944,10,0.012559810574407646,0.04854368932038835,103.0,0.01744186046511628,172.0,0.18181818181818182,11.0
spectral-gru__small__h45__sop10,spectral-gru,3178.0,45.0,10.0,540.0,286,446020,0.006309134119546209,0.005838569178254344,0.9254152895824457,0.47782868738793954,0.15623745740002754,0.02097902097902098,0.006993006993006993,0.038461538461538464,6,0.03406872972311881,0.009708737864077669,103.0,0.029069767441860465,172.0,0.0,11.0
