tag,obs,null_mean,null_sd,null_p95,p,n
spectral-attention__large__h5__sop30,0.21328671328671328,0.20161713286713287,0.018753972878527477,0.23426573426573427,0.3125,286
spectral-gru__large__h5__sop30,0.20279720279720279,0.19691433566433567,0.01704225135762572,0.22377622377622378,0.4275,286
logistic-mean__small__h5__sop30,0.18181818181818182,0.1726311188811189,0.017389171687296305,0.20279720279720279,0.35,286
spectral-attention__large__h15__sop30,0.15734265734265734,0.13229895104895106,0.015343274776256199,0.15734265734265734,0.0625,286
spectral-gru__large__h15__sop30,0.15384615384615385,0.1474388111888112,0.017080855743083687,0.17482517482517482,0.39,286
spectral-meanpool__large__h5__sop30,0.15034965034965034,0.13677447552447553,0.013711775408567814,0.16083916083916083,0.2,286
spectral-gru__large__h45__sop10,0.055944055944055944,0.05410839160839161,0.012008020837281154,0.07342657342657342,0.47,286
