recording_id,n_neg,neg_mean,neg_med,neg_q99,neg_max,dur_s,tag
sub-001_ses-01_task-szMonitoring_run-01,942,0.05951564514420273,0.021166041493415798,0.7970659685134891,0.9112114310264589,64680.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-02,276,0.35703447814760864,0.2502821311354637,0.9053735882043837,0.9385866522789,19200.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-03,864,0.16785762656029501,0.03260493278503415,0.9412723326683045,0.9696923494338988,57360.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-04,299,0.39516366646316736,0.2327800244092941,0.9260143065452576,0.941951870918274,20580.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-05,912,0.14027782114990572,0.039437143132090555,0.9228587794303893,0.9438809752464294,60360.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-06,282,0.17207186716007633,0.041317110881209304,0.9146728664636613,0.9549092054367064,19560.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-07,319,0.2406614080573604,0.0789685174822807,0.8958996880054474,0.9547646641731262,28860.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-08,643,0.1596736008783695,0.0326500907540321,0.9599928200244904,0.9755849242210388,50820.0,spectral-gru__large__h45__sop10
sub-001_ses-01_task-szMonitoring_run-09,756,0.11227090471847935,0.025724517181515652,0.8602075725793841,0.91806161403656,48000.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-01,13,0.41332082335765546,0.4520726799964905,0.5790433382987976,0.5819010138511658,3420.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-02,111,0.4726906055332841,0.5421156287193298,0.8382618546485902,0.8490689992904663,23340.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-03,481,0.37481307109775264,0.3355680108070373,0.8619312047958373,0.8932835459709167,38460.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-04,36,0.1822661227650112,0.09681091457605355,0.543152093887329,0.5615178346633911,4800.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-05,1109,0.3238707555976937,0.2352737337350845,0.8591754841804508,0.8935737013816833,69180.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-06,1155,0.3540858689485948,0.3206083178520202,0.8403908371925355,0.8680199980735779,71940.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-07,17,0.5121205869842979,0.5005096793174744,0.8259965443611145,0.8265321850776672,3660.0,spectral-gru__large__h45__sop10
sub-002_ses-01_task-szMonitoring_run-08,726,0.3972044066184767,0.3764183670282364,0.8544958531856537,0.8858919143676758,46920.0,spectral-gru__large__h45__sop10
